出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1150514","11504","7752","世紀樺欣","綠能環保","101780","197046","350252","-48.347086467119354","-70.94092253577425","707061","1400501","-49.51370973672993","本月減少百分比達50%以上，主係因工程進度所致。"
"1150514","11504","7754","安基生技","生技醫療業","104","50","175","108.0","-40.57142857142857","262","6928","-96.21824480369516","年度差異主係去年 1-3 月 AJ201 專案依進度認列收入，且該合約已於去年 4 月終止不再認列所致。"
"1150514","11504","7756","多那之","觀光餐旅","103434","98480","99261","5.030463038180341","4.2040680629854625","408494","405143","0.8271153642047376","-"
"1150514","11504","7758","睿騰能源","電子零組件業","11985","9159","6944","30.854896822797247","72.59504608294931","31126","62648","-50.31605158983527","主要係因114年3月營收有儲能櫃銷售金額34,345仟元之助長， 以致115/1-4月營收相較減少31,522仟元。"
"1150514","11504","7759","視航生醫","生技醫療業","0","0","0","","","0","0","","無"
"1150514","11504","7761","三大未來","綠能環保","26339","26552","18279","-0.8021994576679723","44.09431588161278","89498","61031","46.64350903639134","-"
"1150514","11504","7762","吉晟生","生技醫療業","22523","24925","12277","-9.63691073219659","83.4568705709864","84459","50373","67.66720266809601","合併子公司營收"
"1150514","11504","7763","崇舜","化學工業","132082","139257","77071","-5.1523442268611275","71.37704194833336","426100","377345","12.920536909194503","主係下游客戶庫存去化完成，需求回溫帶動拉貨動能，致本月出貨量顯著增加。"
"1150514","11504","7764","聖州","其他","55894","67859","64600","-17.632149014869068","-13.476780185758514","234275","256970","-8.831770245553956","-"
"1150514","11504","7771","綠基","光電業","70755","77367","46912","-8.546279421458761","50.82494884038199","222893","239771","-7.039216585825642","本月營收較去年同期增加，主係受惠客戶需求成長，帶動數位安全監控產品出貨增加所致。"
"1150514","11504","7773","富禾生醫","生技醫療業","5512","3112","3499","77.12082262210797","57.530723063732495","14243","10471","36.02330245439786","本期營業收入較去年同期增加，主係銷貨收入增加所致。"
"1150514","11504","7776","奧孟亞","生技醫療業","122","121","122","0.8264462809917356","0.0","487","3706","-86.85914732865623","本期累計授權收入較去年累計減少"
"1150514","11504","7779","鍇睿國際","運動休閒","17238","21785","13044","-20.87215974294239","32.15271389144434","106380","53633","98.34803199522682","本期受新拓展之運動旅遊業務貢獻、賽事活動場次增加及經紀商案成長，致整體營收成長。"
"1150514","11504","7781","昕力資*","數位雲端","72274","101116","70797","-28.523675778314015","2.0862465923697333","294380","251428","17.08322064368328","-"
"1150514","11504","7783","佳運","綠能環保","77295","56390","124458","37.07217591771591","-37.89471146892928","261242","500628","-47.817141670062405","-"
"1150514","11504","7784","安邦生技*","生技醫療業","0","0","0","","","0","0","","本公司為新藥研發生技公司，目前尚未有新藥商品化"
"1150514","11504","7785","北祥科服","數位雲端","153410","180246","127918","-14.888541215893834","19.928391625885332","582809","703283","-17.13023064683776","-"
"1150514","11504","7789","開展","觀光餐旅","182470","176326","148186","3.4844549300727063","23.13578880596008","763004","658877","15.803708431163935","-"
"1150514","11504","7790","思必瑞特","生技醫療業","20341","24724","19397","-17.727713962142047","4.866731968861164","82135","83240","-1.3274867851994234","-"
"1150514","11504","7796","擷發科","半導體業","823","626","2071","31.46964856230032","-60.26074360212458","3569","38213","-90.6602465129668","主係按完比法認列"
"1150514","11504","7797","Q Burger","觀光餐旅","210749","209672","192175","0.5136594299668052","9.665148952777416","822873","746451","10.238046435733892","-"
"1150514","11504","7798","將捷","建材營造","154591","44677","45932","246.01920451238894","236.56492205869546","310354","861275","-63.96574845432644","本月營收較去年增加,係銷售LaMer及AiPARK餘屋;本年累計營收較去年減少,係將捷之森建案113年底完工,114年交屋認列營收且案量較大."
"1150514","11504","7801","華芸科技","資訊服務業","30180","50390","47533","-40.107164119865054","-36.5072686344224","183629","194804","-5.736535184082462","-"
"1150514","11504","7803","雲象科技","生技醫療業","1446","8454","15390","-82.89567068843151","-90.60428849902534","12246","26993","-54.632682547327086","去年同期有專案驗收完成,故認列收入。"
"1150514","11504","7806","精華生醫","食品工業","48973","55400","43506","-11.601083032490974","12.566082839148622","185009","192452","-3.8674578596221396","-"
"1150514","11504","7808","訊聯智藥","生技醫療業","17650","19936","11192","-11.46669341894061","57.70192994996426","70849","37036","91.29765633437736","本月銷售狀況較去年同期成長，主因係市場經營成果，客戶需求增加致營收成長。"
"1150514","11504","7812","稜研科技*","通信網路業","10206","21329","6203","-52.14965539875287","64.53329034338223","48459","77018","-37.08094211742709","本月營收較去年同期顯著提升，主要係出貨量增加所致。"
"1150514","11504","7813","宇辰系統","其他電子業","206713","318732","117374","-35.14520035641228","76.11481247976553","891631","563929","58.11050681912085","本月及本年累計之營業收入較去年及去年累計增加50%以上，主要係廠務自動化及機電工程收入增加所致。"
"1150514","11504","7814","海昌生技","生技醫療業","5352","15981","5180","-66.51023089919279","3.3204633204633205","29003","19816","46.36152603956399","-"
"1150514","11504","7815","新特","半導體業","83844","87997","83824","-4.719479073150221","0.023859515174651652","332806","326323","1.9866819071901154","-"
"1150514","11504","7816","來穎","電子零組件業","214431","179075","309728","19.743682814463213","-30.767964149188966","517390","920768","-43.80886390491416","-"
"1150514","11504","7818","溢泰實業","其他","1057317","1019010","1224676","3.759236906409162","-13.665573588442983","3839744","4416930","-13.067583140325974","-"
"1150514","11504","7819","精誠金融","資訊服務業","23808","43058","31303","-44.707139207580475","-23.943392007155865","127031","131777","-3.6015389635520614","-"
"1150514","11504","7824","智寶","其他","16083","22405","7269","-28.216915866993975","121.25464300453983","68403","37537","82.2282015078456","營收成長主要係IP專案相關商品活動收入帶動"
"1150514","11504","7825","和亞智慧","其他電子業","12745","37637","30909","-66.13704599197598","-58.766055194279986","109685","124994","-12.247787893818904","本月及本年營收較去年本月及去年累計營收減少50%以上，主要皆係自動化設備收入減少所致。"
"1150514","11504","7826","極風雲創","數位雲端","10229","11288","13939","-9.381644223954643","-26.61596958174905","42293","44234","-4.388027309309581","-"
"1150514","11504","7827","漢康-KY","生技醫療業","9542","0","0","","","9542","0","","臨床藥品銷貨收入"
"1150514","11504","7829","思捷優達-KY","生技醫療業","0","0","0","","","0","0","","本公司目前正處於新藥開發階段，尚未進入商業化階段，且尚無產生重大之進貨及銷貨等商業&#64008;為"
"1150514","11504","7831","捷博","居家生活","17261","17966","15003","-3.924078815540465","15.050323268679598","77318","52970","45.96564092882764","-"
"1150514","11504","7832","智新生技*","生技醫療業","0","0","0","","","0","1592","-100.0","本公司本年度專注於自身產品研究開發，減少提供試驗測試勞務服務所致。"
"1150514","11504","7833","綠岩能源","綠能環保","72889","106486","16478","-31.55062637341998","342.34130355625683","363709","411580","-11.631031634190194","本年營收較去年同期營收增加，主要係因承接工程案件依進度認列收入所致"
"1150514","11504","7834","來毅數位","資訊服務業","2601","10119","3968","-74.29587903943077","-34.45060483870968","17542","11972","46.525225526227864","-"
"1150514","11504","7836","智生活","其他","87716","80084","76210","9.529993506817842","15.097756199973757","316910","283574","11.755661661506345","-"
"1150514","11504","7837","啟新生","生技醫療業","99466","100205","89381","-0.7374881492939475","11.28315861312807","361478","320325","12.847264496995239","-"
"1150514","11504","7839","達人網","數位雲端","15803","17002","14180","-7.052111516292201","11.445698166431594","58473","55815","4.762160709486698","-"
"1150514","11504","7840","祥圃","農業科技","138943","157847","153441","-11.976154123930135","-9.44858284291682","599889","560221","7.080777050485433","-"
"1150514","11504","7841","經貿聯網","資訊服務業","29715","35243","30709","-15.685384331640325","-3.236836106678824","133966","135972","-1.4753037390050894","-"
"1150514","11504","7843","英柏得","半導體業","99933","76685","32742","30.31622872791289","205.2134872640645","258600","96887","166.90887322344588","受惠於市場結構性缺貨影響，帶動需求增加。"
"1150514","11504","7846","德揚","綠能環保","97918","85259","70131","14.84769936311709","39.621565356261854","337439","239928","40.64177586609316","-"
"1150514","11504","7847","豊漁","觀光餐旅","91651","91956","72843","-0.33168036887206925","25.81991406174924","378658","331537","14.212893281896138","-"
"1150514","11504","7848","騏億鑫","其他電子業","291393","184703","153186","57.7630033080134","90.22169127727076","829769","564265","47.05306903671148","本月營收較去年同期增加90.22%，主要係因材料供應較去年同期增加所致。"
"1150514","11504","7849","旭誼","其他電子業","56840","50579","54716","12.378655173095554","3.881862709262373","182989","190482","-3.933705021996829","-"
"1150514","11504","7850","寶泰生醫","生技醫療業","1632","2146","2157","-23.951537744641193","-24.339360222531294","6658","4338","53.48086675887506","114年3月起合併子公司牧騰生技營收。"
"1150514","11504","7851","慧康生技*-KY","生技醫療業","8525","11577","14832","-26.362615530793814","-42.52292340884574","35890","65749","-45.413618458075405","-"
"1150514","11504","7853","政美應用","半導體業","1787","129541","64743","-98.6205139685505","-97.23985604621349","167343","99083","68.8917372304028","本月營收較去年同期減少，主要係部分設備本月尚未交機所致；累計營收較去年同期增加，係整體需求成長所致。"
"1150514","11504","7854","佐茂","電腦及週邊設備業","158419","155074","162762","2.1570347060113235","-2.6683132426487757","564337","571795","-1.304313608898294","-"
"1150514","11504","7855","和運租車","其他","2673463","2099142","2475790","27.359797479160534","7.984239374098773","10450058","9917189","5.373185889670954","-"
"1150514","11504","7856","漢測","半導體業","340453","468427","172872","-27.319945263616315","96.93935397288168","1325200","615287","115.37916451997198","營收成長主要來自於熱管理模組及清潔材料出貨明顯成長。"
"1150514","11504","7857","合水先進","綠能環保","153096","142400","197789","7.51123595505618","-22.596302119935892","556764","504421","10.376847910772945","-"
"1150514","11504","7858","芝普","化學工業","182087","177516","113273","2.5749791568084004","60.750576041951746","672386","461189","45.794023708284456","差異原因：主要係因市場需求增溫，客戶訂單需求增加至銷量成長所致。"
"1150514","11504","7860","得生製藥","生技醫療業","49805","49820","73200","-0.030108390204737052","-31.9603825136612","213135","290238","-26.565439398011286","-"
"1150514","11504","7861","貝爾威勒","電子零組件業","967838","850307","376433","13.822184222874798","157.10763934086543","3177630","1099366","189.0420478712276","主係客戶需求增加，較去年同期成長。"
